"","uuid","question.name","issue","feedback","action","old.value","new.value"
"1","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","settlement_other","other response, may need recording","","change","oP",""
"2","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","primary_income_source_other","other response, may need recording","","change","jhtDIlymAWITHkbRDLY YRQXbgHFfhfTXIZBGGecwuJWAUDmhgWXVDBSqXLYG",""
"3","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","secondary_income_sources_other","other response, may need recording","","change","SNrdtkqGYKNACzKd hgTnkVv gICNGzQgL YwuErYXQfHqPfUciL RyutdNzzEiIMdhIWxB NvlgZmHGcDxWWeMHCMcIc",""
"4","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","hh_item_exp_other","other response, may need recording","","change","vNYVmcmIzJkwPTQbdyfKCHfdpwyKBkxoT DTiuZzyoegShhnnrHjAggZrzzKWAgbTjJUvpwzUmhsUMEJhlSPcIXJFL",""
"5","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","lower_income_reason_other","other response, may need recording","","change","eNbkBUtIyozirqxsxDXusVknTuqimMxcBmJxMKhFqAgLrMvSPQIKiufYlGBBpKjedELsl",""
"6","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","lower_income_challanges_other","other response, may need recording","","change","CtiYVInkZVAbLaCIzRHcDOIGEAjSScFVjNOgbJUVYtMLNR",""
"7","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","country_origin_other","other response, may need recording","","change","FoonyefONLABJVJiRioy",""
"8","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","recent_dsip_factors_other","other response, may need recording","","change","FfsOjjKGufhhtxhdBJ",""
"9","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","hh_dsip_needs_other","other response, may need recording","","change","QKVRLzvQsZRdlchNKtlkTkiGAouwwfAnWxwNN",""
"10","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","boys_security_concerns_other","other response, may need recording","","change","sgPQyAOHHHtEQDhNluB jNAS",""
"11","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","girls_security_concerns_other","other response, may need recording","","change","MKtcBBoEWiMtyuIESlWhCjdkNpoqpmkJAOnmrBAaXrROTIPMpHJWiGvbBsnTtXDWBTugmQSwMBi",""
"12","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","women_security_concerns_other","other response, may need recording","","change","WrPYHNOwidLYdImK mGiasCnwhfOcMUFUTFijEXdeysuSLQCU RIdeLgtAaX",""
"13","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","men_security_concerns_other","other response, may need recording","","change","MsdiMGfXpNUXYBGhWJRRAwDuseOBqUuIZ",""
"14","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","reasons_non_residing_children_other","other response, may need recording","","change","ZXWYodWkvkjMjvqPiZU FgQOeWrSCgZGFDhLqVIKLurFnmZYdGLmxkBMOz puEeilZGnjGOOnBfJETo WRRHnOpkLeQX",""
"15","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","child_empolment_act_other","other response, may need recording","","change","jHHUerY QysUYVqgIaaBpOrJriWJxuGgxRynPpHoTcQqepPwlL",""
"16","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","explosive_effects_other","other response, may need recording","","change","yuTDsbEmiWiqicsSn rVSBhMSA bvjedaRzJQJkrnrUvfkqvsoofUxKSvdPmUNxH ILIigd tuikvBaJ",""
"17","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","barriers_accessing_gbv_serv_other","other response, may need recording","","change","BIRkGECDFLpTFZXqyWAmJTnQVbqWYALDg",""
"18","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","why_women_move_freely_other","other response, may need recording","","change","PhvPoWunLLWEk CHPBfodBMqMptgpmGB zKG",""
"19","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","occupancy_arragement_other","other response, may need recording","","change","MIcAwCSuyaFFkqvArYUTqwOlyTUXvrwZOFcuxacphdDpTuYuEglfDXNFHJcCslttoYgzbJnfQhfpMHkoxvxmhf",""
"20","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","disp_prepetrators_other","other response, may need recording","","change","jeTILdmqURQT",""
"21","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","hh_problems_other","other response, may need recording","","change","RzrbJRwGKXxAbnFYSgIRyoJcQovKafuDRRAB",""
"22","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","dropout_reason_other","other response, may need recording","","change","DgIfZeteJKHjLihBYKEIWAJvMZCEdkbXWKVQdAOpDWRhtGupEsrrIsxhXLFtAVo PeZWypusD",""
"23","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","educ_barr_boys_other","other response, may need recording","","change","kQpWHeZyWubjO",""
"24","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","educ_barr_girls_other","other response, may need recording","","change","G",""
"25","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","educ_support_other","other response, may need recording","","change","aGTOoRi jntoMGMNMibAUSBisGCjNZGPxrWFtPCndGYCVoQYjkcvkueWwdrzSTX",""
"26","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","school_transport_other","other response, may need recording","","change","yYTfSkatBbKhFnGcTLt qIfo VocKMqMwKZyUiWffJlVbgXuTglNbjwvROmDWLMRiiWYun",""
"27","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","wash_drinkingwatersource_other","other response, may need recording","","change","v",""
"28","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","water_type_access_probl_other","other response, may need recording","","change","aMyCMvwy MUlNvhUEGrSmO",""
"29","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","adopt_lack_water_other","other response, may need recording","","change","MXFbxXvAZLyOiPp",""
"30","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","sanitation_facility_other","other response, may need recording","","change","bNjHoqOibnIg",""
"31","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","sanitation_problems_other","other response, may need recording","","change","pbVaukXZtynQMHgfOBlFMBUJb",""
"32","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","adopt_sanitation_issues_other","other response, may need recording","","change","XpH PgnKkEddsqGyzmmxdjuZNSm",""
"33","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","adopt_hygiene_issues_other","other response, may need recording","","change","wFXceqXayeGvapsTLevOXNAnREFFgBqoPIKnixRnEsG",""
"34","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","menstrual_problems_other","other response, may need recording","","change","qqVHyazYDSBMwOBxUDKzLqApYtGqvCAEmgzZMJgWupsLKcLm FXrRjtPYTYXRzyHyNDi",""
"35","85ace7bd-74be-4f414c-aea1a8-ca540df7e391","shelter_type_other","other response, may need recording","","change","ymiZXgvMPXscBboAMN lKbV",""
